id,etf_code,date,start_price,last_price,weekly_return,monthly_return
438,167860,2025-04-25,117855,118450,0.5,4.1
439,463300,2025-04-25,10245,10500,2.49,-5.32
440,444490,2025-04-25,14215,14875,4.64,-6.56
441,433970,2025-04-25,12670,12865,1.54,-1.42
442,388280,2025-04-25,6390,6450,0.94,1.26
443,438320,2025-04-25,7130,7825,9.75,-21.36
444,123310,2025-04-25,5120,4985,-2.64,3.21
445,364990,2025-04-25,4900,4950,1.02,2.8
446,332620,2025-04-25,92300,94385,2.26,-3.93
447,332940,2025-04-25,13875,14170,2.13,-4.48
448,448570,2025-04-25,12105,12405,2.48,-4.5
449,139220,2025-04-25,3075,3120,1.46,2.63
450,352560,2025-04-25,11565,11725,1.38,-2.61
451,332610,2025-04-25,128795,130240,1.12,-2.08
452,304780,2025-04-25,16240,17140,5.54,-8.93
453,227540,2025-04-25,18460,18525,0.35,-5.96
454,368190,2025-04-25,6825,6840,0.22,-6.94
455,363580,2025-04-25,9635,10000,3.79,-8.47
456,245350,2025-04-25,14895,15515,4.16,3.88
457,488720,2025-04-25,52375,52490,0.22,1.47
458,434960,2025-04-25,33730,34650,2.73,-3.68
459,495550,2025-04-25,9700,9950,2.58,-4.74
460,474590,2025-04-25,8275,8575,3.63,-8.29
461,400570,2025-04-25,9450,9510,0.63,-7.08
462,160580,2025-04-25,11655,11890,2.02,-8.15
463,114470,2025-04-25,111655,111850,0.17,1.12
464,495230,2025-04-25,9800,10010,2.14,-5.02
465,211560,2025-04-25,19740,20220,2.43,-0.79
466,491220,2025-04-25,38720,39715,2.57,-3.57
467,237370,2025-04-25,13310,13410,0.75,0.95
468,200030,2025-04-25,30930,32295,4.41,-5.27
469,0038A0,2025-04-25,9470,10340,9.19,
470,300640,2025-04-25,7905,7965,0.76,1.01
471,476850,2025-04-25,9365,9545,1.92,-0.42
472,461340,2025-04-25,16270,17780,9.28,-6.03
473,493420,2025-04-25,9810,9910,1.02,-9.7
474,371450,2025-04-25,10145,10945,7.89,-7.83
475,494330,2025-04-25,10760,10955,1.81,0.37
476,465660,2025-04-25,10080,10605,5.21,-11.37
477,437350,2025-04-25,12085,12250,1.37,-2.12
478,411860,2025-04-25,15050,15770,4.78,-0.44
479,256440,2025-04-25,8080,8360,3.47,3.08
480,367760,2025-04-25,9540,9775,2.46,-8.64
481,495040,2025-04-25,9595,9860,2.76,-4.46
482,473490,2025-04-25,12390,13295,7.3,-10.47
